"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1917","User login with  email or password","LMS system","Sat Mar 21 17:51:48 UTC 2026","passed","Sat Mar 21 17:51:50 UTC 2026","Aunthorization","Authentication","",""
"","3409","Edit course","LMS system","Sat Mar 21 17:52:26 UTC 2026","passed","Sat Mar 21 17:52:30 UTC 2026","Courses","Courses","",""
"","3837","User login correct  email or password","LMS system","Sat Mar 21 17:51:53 UTC 2026","passed","Sat Mar 21 17:51:57 UTC 2026","Aunthorization","Authentication","",""
"","1765","User login with  email or password","LMS system","Sat Mar 21 17:51:58 UTC 2026","passed","Sat Mar 21 17:52:00 UTC 2026","Aunthorization","Authentication","",""
"","4937","Edit course","LMS system","Sat Mar 21 17:52:23 UTC 2026","passed","Sat Mar 21 17:52:28 UTC 2026","Courses","Courses","",""
"","1813","User login with  email or password","LMS system","Sat Mar 21 17:52:06 UTC 2026","passed","Sat Mar 21 17:52:07 UTC 2026","Aunthorization","Authentication","",""
"","2373","Check displaying of dashboard page","LMS system","Sat Mar 21 17:52:36 UTC 2026","passed","Sat Mar 21 17:52:38 UTC 2026","Dashboard","Dashboard","",""
"","2218","Registration with correct email and password","LMS system","Sat Mar 21 17:52:04 UTC 2026","passed","Sat Mar 21 17:52:06 UTC 2026","Registration","Authentication","",""
"","1512","User login with  email or password","LMS system","Sat Mar 21 17:51:58 UTC 2026","passed","Sat Mar 21 17:51:59 UTC 2026","Aunthorization","Authentication","",""
"","2288","Check displaying of dashboard page","LMS system","Sat Mar 21 17:52:30 UTC 2026","passed","Sat Mar 21 17:52:33 UTC 2026","Dashboard","Dashboard","",""
"","2863","Create course","LMS system","Sat Mar 21 17:52:15 UTC 2026","passed","Sat Mar 21 17:52:18 UTC 2026","Courses","Courses","",""
"","1769","User login with  email or password","LMS system","Sat Mar 21 17:51:56 UTC 2026","passed","Sat Mar 21 17:51:57 UTC 2026","Aunthorization","Authentication","",""
"","2377","Navigation from login page to registration page","LMS system","Sat Mar 21 17:51:45 UTC 2026","passed","Sat Mar 21 17:51:48 UTC 2026","Aunthorization","Authentication","",""
"","1902","Check displaing of empty courses list","LMS system","Sat Mar 21 17:52:23 UTC 2026","passed","Sat Mar 21 17:52:25 UTC 2026","Courses","Courses","",""
"","1823","User login with  email or password","LMS system","Sat Mar 21 17:51:51 UTC 2026","passed","Sat Mar 21 17:51:53 UTC 2026","Aunthorization","Authentication","",""
"","1762","User login with  email or password","LMS system","Sat Mar 21 17:52:02 UTC 2026","passed","Sat Mar 21 17:52:03 UTC 2026","Aunthorization","Authentication","",""
"","1928","Navigation from login page to registration page","LMS system","Sat Mar 21 17:51:35 UTC 2026","passed","Sat Mar 21 17:51:37 UTC 2026","Aunthorization","Authentication","",""
"","2800","Create course","LMS system","Sat Mar 21 17:52:17 UTC 2026","passed","Sat Mar 21 17:52:20 UTC 2026","Courses","Courses","",""
"","2416","User login with  email or password","LMS system","Sat Mar 21 17:52:01 UTC 2026","passed","Sat Mar 21 17:52:04 UTC 2026","Aunthorization","Authentication","",""
"","10082","User login correct  email or password","LMS system","Sat Mar 21 17:51:41 UTC 2026","passed","Sat Mar 21 17:51:51 UTC 2026","Aunthorization","Authentication","",""
"","3325","Edit course","LMS system","Sat Mar 21 17:52:31 UTC 2026","passed","Sat Mar 21 17:52:34 UTC 2026","Courses","Courses","",""
"","2566","Create course","LMS system","Sat Mar 21 17:52:12 UTC 2026","passed","Sat Mar 21 17:52:15 UTC 2026","Courses","Courses","",""
"","1417","Check displaing of empty courses list","LMS system","Sat Mar 21 17:52:21 UTC 2026","passed","Sat Mar 21 17:52:22 UTC 2026","Courses","Courses","",""
"","2528","Check displaying of dashboard page","LMS system","Sat Mar 21 17:52:35 UTC 2026","passed","Sat Mar 21 17:52:37 UTC 2026","Dashboard","Dashboard","",""
"","2210","Registration with correct email and password","LMS system","Sat Mar 21 17:52:10 UTC 2026","passed","Sat Mar 21 17:52:12 UTC 2026","Registration","Authentication","",""
"","1878","User login with  email or password","LMS system","Sat Mar 21 17:51:53 UTC 2026","passed","Sat Mar 21 17:51:55 UTC 2026","Aunthorization","Authentication","",""
"","2066","Navigation from login page to registration page","LMS system","Sat Mar 21 17:51:41 UTC 2026","passed","Sat Mar 21 17:51:43 UTC 2026","Aunthorization","Authentication","",""
"","1710","Check displaing of empty courses list","LMS system","Sat Mar 21 17:52:18 UTC 2026","passed","Sat Mar 21 17:52:20 UTC 2026","Courses","Courses","",""
"","3632","User login correct  email or password","LMS system","Sat Mar 21 17:51:35 UTC 2026","passed","Sat Mar 21 17:51:38 UTC 2026","Aunthorization","Authentication","",""
"","2215","Registration with correct email and password","LMS system","Sat Mar 21 17:52:07 UTC 2026","passed","Sat Mar 21 17:52:09 UTC 2026","Registration","Authentication","",""
